Chức năng,Diễn giải,Endpoint,Method,URL Parameter,Message Payload,Header Parameters,Chú thích,Ví dụ,Yêu cầu,Mẫu
Xem role,Xem danh sách role trong hệ thống,/api/user-role,GET,"search
filter
sort
page
limit",,Authorization,"search: tìm kiếm tương đối trên RoleName
filter: tìm kiếm tuyệt đối trên các field response trả ra
sort: sort trên các field response trả ra, sort 1 field duy nhất, mặc định là ASC, DESC thì thêm dấu - ở trước field 
page: số trang
limit: giới hạn phần tử trả ra, mặc định 20, tối đa 100",/api/user_role?page=1&limit=100,,
Xem role,Xem thông tin 1 role trong hệ thống,/api/user-role/{roleId},GET,roleId,,Authorization,,/api/user-role/1,,
Tạo role,Thêm 1 role ,/api/user-role/add,POST,,"{
  ""role_name"": ""string"",
  ""is_teacher"": true,
  ""status"": ""string""
}",Authorization,"role_name: tên của role
is_teacher: role này có phải là giáo viên không?
status:  gọi API /api/code-list/SYSSTS, truyền code_id ","{
  ""role_name"": ""Giáo viên hợp đồng"",
  ""is_teacher"": true,
  ""status"": ""A""
}",,
Update role,Dùng để update role,/api/user-role/update,PUT,,"{
  ""id"": 0,
  ""role_name"": ""string""
}",Authorization,"id: id của role cần update
role_name: tên mới","{
  ""id"": 1,
  ""role_name"": ""Giáo viên""
}",,
Assign role,Dùng để assign lại role cho 1 tài khoản,/api/user-role/assign,PUT,,"{
  ""role_id"": 0,
  ""user_name"": ""string""
}",Authorization,"id: id của role 
user_name: tên tài khoản","{
  ""role_id"": 1,
  ""user_name"": ""tuyendht""
}",,
Xóa role,Dùng để xóa role,/api/user-role/remove/{roleId},DELETE,roleId,,Authorization,,/api/user-role/remove/0,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,11,,,,,,
